ticker,finalPositionAsPercentage,AveragePositionAsPercentage,SDPositionAsPercentage,MaxPositionAsPercentage,MinPositionAsPercentage,AvgChangeInPositionAsPercentage,SDChangeInPositionAsPercentage,MinChangeInPositionAsPercentage,MaxChangeInPositionAsPercentage,finalPosition,AveragePosition,SDPosition,MaxPosition,MinPosition,AvgChangeInPosition,SDChangeInPosition,MinChangeInPosition,MaxChangeInPosition,FinalHoldingGrossReturn,AverageHoldingGrossReturn,SDHoldingGrossReturn,MinHoldingGrossReturn,MaxHoldingGrossReturn
AZO,-0.0092465277364058,-0.0092465277364058,,-0.0092465277364058,-0.0092465277364058,,,,,-23.28099999999995,-23.28099999999995,,-23.28099999999995,-23.28099999999995,,,,,0.989232309030467,0.9967033031045804,0.0033583236377063,0.989232309030467,1.0043132722485018
AZZ,-0.0186426299045598,-0.0186426299045598,,-0.0186426299045598,-0.0186426299045598,,,,,-0.8789999999999978,-0.8789999999999978,,-0.8789999999999978,-0.8789999999999978,,,,,0.9902651113467658,0.9992625282105664,0.0074709023244564,0.9898197242841994,1.0101802757158007
B,-0.0065438034188033,-0.0065438034188033,,-0.0065438034188033,-0.0065438034188033,,,,,-0.2449999999999974,-0.2449999999999974,,-0.2449999999999974,-0.2449999999999974,,,,,1.0017361111111112,1.009801254657024,0.0031905506014917,1.0,1.015384615384615
BA,-0.0116041044067093,-0.0116041044067093,,-0.0116041044067093,-0.0116041044067093,,,,,-2.6869999999999834,-2.6869999999999834,,-2.6869999999999834,-2.6869999999999834,,,,,0.9930556755169376,1.001386938132261,0.0048312026278396,0.9917773670300056,1.0126017032596866
BABA,0.0,,,,,,,,,0.0,,,,,,,,,0.9985783369901045,1.0023711318309,0.0041270727566842,0.9898244749921642,1.0124479469842835
BAC,0.0,,,,,,,,,0.0,,,,,,,,,0.985105739165518,0.9906321418441918,0.0037935544020609,0.982483273375248,1.0018491745957032
BAH,-0.0127001067235858,-0.0127001067235858,,-0.0127001067235858,-0.0127001067235858,,,,,-1.546999999999997,-1.546999999999997,,-1.546999999999997,-1.546999999999997,,,,,0.982948854773828,0.9920147813218988,0.0046775273608764,0.981651752729661,1.0
BAK,-0.017989417989417982,-0.017989417989417982,,-0.017989417989417982,-0.017989417989417982,,,,,-0.16999999999999993,-0.16999999999999993,,-0.16999999999999993,-0.16999999999999993,,,,,0.9682539682539684,0.9793846153846155,0.0073087427629382655,0.9682539682539684,1.0
BALT,0.0,,,,,,,,,0.0,,,,,,,,,0.9987138263665596,0.999465376828721,0.0007365686564002276,0.9982136477313327,1.0007145409074671
BAM,0.0,,,,,,,,,0.0,,,,,,,,,0.9935409999706409,0.9931935840599708,0.0036065635935634286,0.9876985408531753,1.0090426000411028
BANC,-0.015219619903793048,-0.015219619903793048,,-0.015219619903793048,-0.015219619903793048,,,,,-0.19299999999999962,-0.19299999999999962,,-0.19299999999999962,-0.19299999999999962,,,,,0.9763425597350367,0.9893363582504817,0.006497565212227545,0.9761848434666036,1.0087532528980365
BAP,0.0,,,,,,,,,0.0,,,,,,,,,0.98633071221217,0.992723154826816,0.006743127738703436,0.9829204362898453,1.0075815225050027
BAX,-0.00737316263632053,-0.00737316263632053,,-0.00737316263632053,-0.00737316263632053,,,,,-0.31099999999999994,-0.31099999999999994,,-0.31099999999999994,-0.31099999999999994,,,,,0.9977477477477478,1.0027985070090335,0.002024175927969896,0.9968942626837364,1.0069227121858702
BBD,-0.008191349934469171,-0.008191349934469171,,-0.008191349934469171,-0.008191349934469171,,,,,-0.02499999999999991,-0.02499999999999991,,-0.02499999999999991,-0.02499999999999991,,,,,0.9977064220183486,1.0059607823369292,0.005664682639028294,0.9950851900393184,1.0176933158584534
BBDO,-0.025298156848572406,-0.025298156848572406,,-0.025298156848572406,-0.025298156848572406,,,,,-0.06999999999999984,-0.06999999999999984,,-0.06999999999999984,-0.06999999999999984,,,,,0.9757860498735094,0.9933739085997622,0.007134663076389423,0.9757860498735094,1.0010842067220818
